;Year;Subgroup;Penalty;Old Quality;New Quality
0;0;EURef2016=='Remain';0.943479397;0.158597785;0.149633742
1;0;Poscountry=='Very negative effect';0.899477581;0.106728657;0.096000034
2;0;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.917438966;0.100387757;0.09209964
3;0;EURef2016=='Remain' AND sex=='Woman';0.945103847;0.095298028;0.090066533
4;0;EURef2016=='Remain' AND Posind=='Somewhat negative effect';0.911934819;0.085368256;0.077850285
5;0;Posind=='Somewhat negative effect';0.938272557;0.083865448;0.078688648
6;0;EURef2016=='Remain' AND Govthand=='Very badly';0.814723852;0.079419055;0.064704598
7;0;Govthand=='Very badly';0.762428179;0.077124658;0.058802012
8;0;EURef2016=='Remain' AND work_stat=='Working full time (30 or more hours per week)';0.918442236;0.075803263;0.069620919
9;0;Poscountry=='Somewhat negative effect';0.786242497;0.074027359;0.058203455
