,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
3240,3240,3.0,1.0,71.0,Woman,,,South West,UKIP,Leave,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,15 or under,No formal qualifications,,A,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9563290092667746,2017-09-25 17:37:29,2017-09-25 18:01:50,Right,Very positive effect,Neither positive nor negative,Very badly,10.0,a Leaver,,,
3241,3241,3.0,2.0,80.0,Man,,,South East,Conservative,Leave,Conservative,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.8298940096983434,2017-09-25 16:37:07,2017-09-25 16:50:36,Right,Very positive effect,Somewhat positive effect,Fairly badly,3.0,a Leaver,,,
3242,3242,3.0,3.0,35.0,Man,,,Yorkshire and the Humber,Conservative,Remain,Labour,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,20+,GCE A level or Higher Certificate,,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9536582801219656,2017-09-25 16:37:15,2017-09-25 16:43:59,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
3243,3243,3.0,4.0,50.0,Woman,,,East of England,Conservative,Remain,Liberal Democrat,Missing,,,,"£5,000 to £9,999 per year",Not Asked or missing,20+,"Other technical, professional or higher qualification",,E,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.4961737718530893,2017-09-25 16:54:39,2017-09-25 17:06:35,Wrong,Somewhat negative effect,Neither positive nor negative,Fairly badly,3.0,a Remainer,,,
3244,3244,3.0,5.0,69.0,Man,,,South East,Conservative,Leave,DK or did not vote,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,20+,"Other technical, professional or higher qualification",,A,Working part time (8-29 hours a week),Self-employed,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.5367102517376408,2017-09-25 17:32:10,2017-09-25 18:23:08,Right,Very positive effect,Very positive effect,Fairly well,1.0,Neither a Leaver nor a Remainer,,,
3245,3245,3.0,6.0,36.0,Man,,,East Midlands,Labour,Remain,Labour,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,17-18,GCE A level or Higher Certificate,,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.115973234409206,2017-09-25 21:46:13,2017-09-25 21:53:39,Wrong,Very negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,
3246,3246,3.0,7.0,45.0,Man,,,London,DK or did not vote,Did not vote,Liberal Democrat,Missing,,,,Prefer not to answer,Not Asked or missing,17-18,Prefer not to say,,B,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.9647791568101287,2017-09-25 16:25:08,2017-09-25 16:40:26,Wrong,Very negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,
3247,3247,3.0,8.0,46.0,Man,,,Scotland,Labour,Remain,Liberal Democrat,Missing,,,,"£100,000 and over",Not Asked or missing,20+,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.8163122439501245,2017-09-25 17:35:16,2017-09-25 17:43:22,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
3248,3248,3.0,9.0,71.0,Woman,,,West Midlands,Conservative,Leave,Conservative,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,15 or under,No formal qualifications,,C1,Working part time (8-29 hours a week),Self-employed,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.075411369988015,2017-09-25 18:41:06,2017-09-25 18:52:59,Right,Somewhat positive effect,Very positive effect,Fairly badly,10.0,a Leaver,,,
3249,3249,3.0,10.0,65.0,Man,,,North West,Conservative,Leave,Conservative,Missing,,,,"£60,000 to £69,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,B,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.782573286395159,2017-09-25 19:54:27,2017-09-25 20:04:16,Right,Very positive effect,Neither positive nor negative,Fairly well,5.0,a Leaver,,,
3250,3250,3.0,11.0,64.0,Man,,,South East,Liberal Democrat,Remain,Liberal Democrat,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Working part time (8-29 hours a week),Self-employed,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.833754608005994,2017-09-25 21:17:08,2017-09-25 21:25:33,Wrong,Very negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,
3251,3251,3.0,12.0,42.0,Woman,,,London,Liberal Democrat,Remain,Liberal Democrat,Missing,,,,"£50,000 to £59,999 per year",Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,B,Working full time (30 or more hours per week),Charity/voluntary sector,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.8183801276395771,2017-09-25 16:26:15,2017-09-25 16:34:10,Wrong,Somewhat negative effect,Somewhat negative effect,Very badly,2.0,a Remainer,,,
3252,3252,3.0,13.0,61.0,Man,,,East of England,Conservative,Leave,Conservative,Missing,,,,"£50,000 to £59,999 per year",Not Asked or missing,16,GCE A level or Higher Certificate,,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7380263485840824,2017-09-25 18:24:21,2017-09-25 18:36:35,Right,Very positive effect,Very positive effect,Fairly badly,10.0,a Leaver,,,
3253,3253,3.0,14.0,51.0,Woman,,,East of England,Conservative,Leave,Conservative,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Working full time (30 or more hours per week),Charity/voluntary sector,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.1485047214956388,2017-09-25 16:50:21,2017-09-25 17:13:25,Right,Very positive effect,Very positive effect,Fairly well,6.0,a Leaver,,,
3254,3254,3.0,15.0,74.0,Man,,,London,Labour,Remain,Liberal Democrat,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Retired,Other,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7794537676487153,2017-09-25 17:16:04,2017-09-25 17:27:20,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
3255,3255,3.0,16.0,55.0,Man,,,West Midlands,Labour,Remain,Labour,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,16,GCE A level or Higher Certificate,,C1,Working full time (30 or more hours per week),Charity/voluntary sector,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.9778658894661203,2017-09-25 17:49:52,2017-09-25 18:01:52,Wrong,Somewhat negative effect,Neither positive nor negative,Very badly,2.0,a Remainer,,,
3256,3256,3.0,17.0,69.0,Man,,,East Midlands,Conservative,Remain,Conservative,Missing,,,,"£5,000 to £9,999 per year",Not Asked or missing,17-18,GCE A level or Higher Certificate,,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",2.264434321624241,2017-09-25 18:22:13,2017-09-25 18:37:12,Wrong,Somewhat negative effect,Somewhat negative effect,Don't know,0.0,a Remainer,,,
3257,3257,3.0,18.0,49.0,Man,,,West Midlands,Conservative,Remain,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,17-18,"Other technical, professional or higher qualification",,E,Not working,Private sector firm or company (e.g. limited companies and Plcs),Other,1.243242301105221,2017-09-26 10:09:21,2017-09-26 10:16:33,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
3258,3258,3.0,19.0,80.0,Woman,,,East Midlands,UKIP,Leave,UKIP,Missing,,,,Prefer not to answer,Not Asked or missing,16,GCE A level or Higher Certificate,,C1,Retired,Other public sector employer (e.g. Central Government),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6617573033841216,2017-09-25 23:22:41,2017-09-25 23:38:33,Right,Very positive effect,Very positive effect,Fairly badly,10.0,a Leaver,,,
3259,3259,3.0,20.0,60.0,Man,,,South West,Conservative,Leave,Conservative,Missing,,,,"£45,000 to £49,999 per year",Not Asked or missing,16,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.6504454999915585,2017-09-25 18:25:23,2017-09-25 18:31:32,Right,Very positive effect,Somewhat positive effect,Fairly badly,2.0,a Leaver,,,
