age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
55,"Man","Wales","Missing","Leave",9,"None","£30,000 to £34,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
81,"Man","South East","Missing","Leave",5,"The Guardian","£20,000 to £24,999 per year","Not Asked or missing","19","CSE grade 1, GCE O level, GCSE, School Certificate","A","Other","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","Very badly",3,"a Leaver"
70,"Man","Wales","Missing","Leave",2,"The Daily Mail / The Scottish Daily Mail","£25,000 to £29,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","B","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Neither positive nor negative","Somewhat positive effect","Fairly well",8,"a Leaver"
66,"Man","South East","Missing","Leave",0,"The Times","£5,000 to £9,999 per year","Not Asked or missing","15 or under","City & Guilds certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Very positive effect","Fairly well",9,"Neither a Leaver nor a Remainer"
59,"Man","Scotland","Missing","Remain",5,"None","£35,000 to £39,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
47,"Woman","London","Missing","Did not vote",4,"The Guardian","£20,000 to £24,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C2","Other","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Don't know",1,"Don’t know"
60,"Woman","North West","Missing","Remain",6,"The Daily Mail / The Scottish Daily Mail","Prefer not to answer","Not Asked or missing","16","Prefer not to say","C2","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",6,"a Remainer"
66,"Man","West Midlands","Missing","Did not vote",5,"The Times","£35,000 to £39,999 per year","Not Asked or missing","16","No formal qualifications","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Very positive effect","Fairly well",10,"a Leaver"
58,"Man","North West","Missing","Leave",7,"None","£40,000 to £44,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","Very badly",3,"a Leaver"
44,"Man","Scotland","Missing","Remain",9,"The Guardian","£50,000 to £59,999 per year","Not Asked or missing","19","Scottish Higher Certificate","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
