,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
8218,8218,6.0,1.0,55.0,Man,,White British,Wales,Missing,Leave,Other,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7471758876189857,2018-07-31 17:41:29,2018-07-31 17:47:36,Right,Somewhat positive effect,Somewhat positive effect,Fairly badly,5.0,a Leaver,,,
8219,8219,6.0,2.0,81.0,Man,,White British,South East,Missing,Leave,Conservative,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,19,"CSE grade 1, GCE O level, GCSE, School Certificate",,A,Other,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8185894373998028,2018-07-31 15:29:28,2018-07-31 15:55:16,Right,Somewhat positive effect,Neither positive nor negative,Very badly,3.0,a Leaver,,,
8220,8220,6.0,3.0,70.0,Man,,White British,Wales,Missing,Leave,Conservative,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,B,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7857647502663787,2018-07-31 16:38:29,2018-07-31 16:49:49,Right,Neither positive nor negative,Somewhat positive effect,Fairly well,8.0,a Leaver,,,
8221,8221,6.0,4.0,66.0,Man,,White British,South East,Missing,Leave,Conservative,Missing,,,,"£5,000 to £9,999 per year",Not Asked or missing,15 or under,City & Guilds certificate,,E,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",2.2506849614479374,2018-07-31 18:19:51,2018-07-31 18:31:50,Right,Very positive effect,Very positive effect,Fairly well,9.0,Neither a Leaver nor a Remainer,,,
8222,8222,6.0,5.0,59.0,Man,,White British,Scotland,Missing,Remain,Other,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,20+,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.0237721611538255,2018-07-31 18:17:29,2018-07-31 18:22:57,Wrong,Very negative effect,Very negative effect,Very badly,2.0,a Remainer,,,
8223,8223,6.0,6.0,47.0,Woman,,Chinese,London,Missing,Did not vote,Conservative,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C2,Other,Other,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",3.4881623302582803,2018-08-01 00:15:10,2018-08-01 00:48:25,Wrong,Somewhat negative effect,Somewhat negative effect,Don't know,1.0,Don’t know,,,
8224,8224,6.0,7.0,60.0,Woman,,White British,North West,Missing,Remain,Labour,Missing,,,,Prefer not to answer,Not Asked or missing,16,Prefer not to say,,C2,Retired,Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9255691163830788,2018-07-31 15:33:30,2018-07-31 15:44:41,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,6.0,a Remainer,,,
8225,8225,6.0,8.0,66.0,Man,,White British,West Midlands,Missing,Did not vote,DK or did not vote,Missing,,,,"£35,000 to £39,999 per year",Not Asked or missing,16,No formal qualifications,,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6342846557943773,2018-07-31 19:28:54,2018-07-31 19:34:28,Right,Somewhat positive effect,Very positive effect,Fairly well,10.0,a Leaver,,,
8226,8226,6.0,9.0,58.0,Man,,White British,North West,Missing,Leave,Conservative,Missing,,,,"£40,000 to £44,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Working full time (30 or more hours per week),Charity/voluntary sector,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.0321656329517666,2018-07-31 15:30:23,2018-07-31 15:38:44,Right,Somewhat positive effect,Neither positive nor negative,Very badly,3.0,a Leaver,,,
8227,8227,6.0,10.0,44.0,Man,,White British,Scotland,Missing,Remain,Conservative,Missing,,,,"£50,000 to £59,999 per year",Not Asked or missing,19,Scottish Higher Certificate,,B,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8377304375634316,2018-07-31 17:45:44,2018-07-31 17:52:52,Wrong,Very negative effect,Very negative effect,Very badly,0.0,a Remainer,,,
