,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
13722,13722,9.0,,39.0,Man,English / Welsh / Scottish / Northern Irish / British,,North East,Conservative,Remain,Labour,Missing,,,,"£45,000 to £49,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.1648084165569064,2019-09-09 20:16:21,2019-09-09 20:22:25,Wrong,Very negative effect,Very negative effect,Very badly,10.0,a Remainer,,,
13723,13723,9.0,,71.0,Woman,English / Welsh / Scottish / Northern Irish / British,,North East,DK or did not vote,Remain,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,C1,Retired,Other,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7259547732763674,2019-09-09 17:25:14,2019-09-09 17:33:51,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,5.0,Neither a Leaver nor a Remainer,,,
13724,13724,9.0,,34.0,Woman,English / Welsh / Scottish / Northern Irish / British,,North East,Labour,Remain,Labour,Missing,,,,Prefer not to answer,Not Asked or missing,17-18,GCE A level or Higher Certificate,,C2,Working full time (30 or more hours per week),Nationalised industry or public corporation (e.g. Post Office),"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.672414597251284,2019-09-09 19:03:33,2019-09-09 19:10:32,Wrong,Very negative effect,Somewhat negative effect,Very badly,1.0,a Remainer,,,
13725,13725,9.0,,46.0,Woman,English / Welsh / Scottish / Northern Irish / British,,North East,Conservative,Remain,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,16,GCE A level or Higher Certificate,,E,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.5132739467908611,2019-09-09 19:02:53,2019-09-09 19:10:23,Wrong,Somewhat negative effect,Somewhat negative effect,Don't know,5.0,a Remainer,,,
13726,13726,9.0,,68.0,Woman,English / Welsh / Scottish / Northern Irish / British,,North East,Conservative,Remain,Conservative,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Other,Other,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7259547732763674,2019-09-09 20:33:04,2019-09-09 20:43:47,Wrong,Somewhat negative effect,Neither positive nor negative,Very badly,1.0,a Remainer,,,
13727,13727,9.0,,80.0,Man,English / Welsh / Scottish / Northern Irish / British,,North East,Labour,Remain,Labour,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.8122404878931226,2019-09-09 17:27:04,2019-09-09 17:40:09,Wrong,Very negative effect,Somewhat negative effect,Very badly,3.0,a Remainer,,,
13728,13728,9.0,,34.0,Man,English / Welsh / Scottish / Northern Irish / British,,North East,Labour,Remain,Labour,Missing,,,,"£5,000 to £9,999 per year",Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,E,Unemployed,Skipped,"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.9566557807701848,2019-09-09 21:33:28,2019-09-09 21:36:11,Wrong,Very negative effect,Very negative effect,Very badly,0.0,a Remainer,,,
13729,13729,9.0,,35.0,Woman,White and Asian,,North East,DK or did not vote,Remain,Labour,Missing,,,,"£5,000 to £9,999 per year",Not Asked or missing,15 or under,Teaching qualification (not degree),,C1,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.890182374899093,2019-09-09 20:40:38,2019-09-09 20:48:40,Wrong,Somewhat negative effect,Don't know,Fairly badly,5.0,a Remainer,,,
13730,13730,9.0,,46.0,Man,English / Welsh / Scottish / Northern Irish / British,,North East,Labour,Remain,Labour,Missing,,,,Don't know,Not Asked or missing,16,No formal qualifications,,E,Other,Other,Have never worked,0.9566557807701848,2019-09-09 21:16:09,2019-09-09 21:27:14,Wrong,Very negative effect,Very negative effect,Very badly,5.0,a Remainer,,,
13731,13731,9.0,,50.0,Man,English / Welsh / Scottish / Northern Irish / British,,North East,Labour,Remain,Labour,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C2,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,3.243837615134125,2019-09-09 21:36:54,2019-09-09 21:56:54,Wrong,Very negative effect,Very negative effect,Fairly badly,1.0,a Remainer,,,
