age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
44,"Woman","North East","Green","Remain",6,"None","£20,000 to £24,999 per year","£70,000 to £99,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
65,"Woman","North West","Labour","Remain",10,"The Guardian","£5,000 to £9,999 per year","£35,000 to £39,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
66,"Man","South East","Conservative","Leave",7,"The Daily Mail / The Scottish Daily Mail","£25,000 to £29,999 per year","£25,000 to £29,999 per year","17-18","Other technical, professional or higher qualification","C1","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
62,"Man","London","UKIP","Leave",10,"The Daily Telegraph","£100,000 and over","£100,000 to £149,999 per year","20+","Other technical, professional or higher qualification","A","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Neither positive nor negative","Don't know",10,"a Leaver"
55,"Woman","South East","Conservative","Leave",10,"The Daily Mail / The Scottish Daily Mail","£30,000 to £34,999 per year","£70,000 to £99,999 per year","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","Very well",6,"a Leaver"
60,"Man","Scotland","Labour","Remain",7,"The Guardian","£60,000 to £69,999 per year","£100,000 to £149,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
78,"Woman","East of England","Conservative","Remain",10,"The Times","£15,000 to £19,999 per year","£35,000 to £39,999 per year","17-18","Other technical, professional or higher qualification","C1","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",1,"a Remainer"
58,"Man","Yorkshire and the Humber","Labour","Leave",7,"The Daily Mail / The Scottish Daily Mail","£30,000 to £34,999 per year","£25,000 to £29,999 per year","20+","City & Guilds certificate - advanced","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",8,"a Leaver"
55,"Woman","London","Conservative","Remain",9,"None","£70,000 to £99,999 per year","£60,000 to £69,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly well",3,"a Remainer"
58,"Man","South East","Conservative","Leave",4,"The Daily Mail / The Scottish Daily Mail","£50,000 to £59,999 per year","£50,000 to £59,999 per year","16","City & Guilds certificate - advanced","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Neither positive nor negative","Somewhat negative effect","Don't know",6,"a Remainer"
