,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
15341,15341,10.0,1.0,60.0,Man,,,North West,Missing,Remain,Labour,Labour,,,,Not Asked or missing,Prefer not to answer,,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,C1,Retired,99.0,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9643824497786267,2020-01-09 21:33:41,2020-01-09 21:53:31,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,Not Asked,Extremely important,
15342,15342,10.0,2.0,42.0,Woman,,,Wales,Missing,Did not vote,DK or did not vote,DK or did not vote,,,,Not Asked or missing,"£10,000 to £14,999 per year",,"Other technical, professional or higher qualification",,C1,Working part time (8-29 hours a week),99.0,"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.8637377181553041,2020-01-09 19:31:14,2020-01-09 19:37:56,Right,Don't know,Don't know,Very badly,5.0,Neither a Leaver nor a Remainer,Not Asked,Not Asked,
15343,15343,10.0,3.0,52.0,Woman,,,East of England,Missing,Leave,Labour,Liberal Democrat,,,,Not Asked or missing,"£25,000 to £29,999 per year",,GCE A level or Higher Certificate,,C2,Working part time (8-29 hours a week),99.0,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.9015487165627656,2020-01-09 20:30:52,2020-01-09 20:38:23,Don’t know,Don't know,Neither positive nor negative,Don't know,4.0,Neither a Leaver nor a Remainer,Not Asked,Not Asked,
15344,15344,10.0,4.0,44.0,Woman,,,South East,Missing,Leave,DK or did not vote,Conservative,,,,Not Asked or missing,Prefer not to answer,,"CSE grade 1, GCE O level, GCSE, School Certificate",,C2,Working part time (8-29 hours a week),99.0,"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.7810903020161623,2020-01-09 20:22:33,2020-01-09 20:32:17,Right,Neither positive nor negative,Somewhat positive effect,Very badly,10.0,a Leaver,Not very important,Not Asked,
15345,15345,10.0,5.0,68.0,Man,,,West Midlands,Missing,Did not vote,DK or did not vote,Conservative,,,,Not Asked or missing,"£60,000 to £69,999 per year",,CSE grades 2-5,,B,Working full time (30 or more hours per week),99.0,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.4998935853407874,2020-01-09 22:57:40,2020-01-09 23:05:01,Right,Very positive effect,Very positive effect,Very well,10.0,a Leaver,Extremely important,Not Asked,
15346,15346,10.0,6.0,54.0,Man,,,London,Missing,Remain,Green,Labour,,,,Not Asked or missing,"£40,000 to £44,999 per year",,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Working full time (30 or more hours per week),99.0,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.1816728409805994,2020-01-09 20:44:45,2020-01-09 20:48:54,Wrong,Very negative effect,Very negative effect,Very badly,0.0,a Remainer,Not Asked,Extremely important,
15347,15347,10.0,7.0,59.0,Man,,,Yorkshire and the Humber,Missing,Remain,Conservative,Missing,,,,Not Asked or missing,"£60,000 to £69,999 per year",,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Working full time (30 or more hours per week),99.0,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.5692789757496798,2020-01-09 17:33:05,2020-01-09 17:39:27,Wrong,Very negative effect,Somewhat negative effect,Don't know,2.0,a Remainer,Not Asked,Very important,
15348,15348,10.0,8.0,70.0,Woman,,,North West,Missing,Remain,Conservative,Labour,,,,Not Asked or missing,"£70,000 to £99,999 per year",,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Retired,99.0,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7718182690660642,2020-01-10 00:04:44,2020-01-10 00:16:40,Wrong,Somewhat negative effect,Somewhat negative effect,Don't know,3.0,a Remainer,Not Asked,Not very important,
15349,15349,10.0,9.0,46.0,Woman,,,London,Missing,Leave,Labour,Labour,,,,Not Asked or missing,Prefer not to answer,,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,B,Working full time (30 or more hours per week),99.0,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.0433901689490612,2020-01-09 20:30:03,2020-01-09 20:35:48,Don’t know,Somewhat positive effect,Neither positive nor negative,Fairly well,5.0,a Leaver,Not very important,Not Asked,
15350,15350,10.0,10.0,54.0,Man,,,North West,Missing,Remain,Labour,Labour,,,,Not Asked or missing,Prefer not to answer,,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Working full time (30 or more hours per week),99.0,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.8884287415231747,2020-01-09 21:35:00,2020-01-09 21:44:58,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,Not Asked,Extremely important,
