age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
53,"Woman","Wales","UKIP","Leave","","","under £5,000 per year","Not Asked or missing","20+","GCE A level or Higher Certificate","E","Retired","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","Very badly",8,"a Leaver"
68,"Man","East Midlands","Conservative","Leave","","","£25,000 to £29,999 per year","Not Asked or missing","16","Recognised trade apprenticeship completed","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat negative effect","Somewhat positive effect","Very badly",10,"a Leaver"
43,"Man","Yorkshire and the Humber","DK or did not vote","Remain","","","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","E","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
61,"Man","South West","Labour","Leave","","","£10,000 to £14,999 per year","Not Asked or missing","16","CSE grade 1, GCE O level, GCSE, School Certificate","E","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
51,"Man","South East","Conservative","Remain","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","Teaching qualification (not degree)","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","Very badly",4,"a Remainer"
52,"Woman","East of England","Conservative","Remain","","","Prefer not to answer","Not Asked or missing","20+","University diploma","B","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Have never worked","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
51,"Woman","East of England","Green","Leave","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","C1","Working part time (8-29 hours a week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Neither positive nor negative","Neither positive nor negative","Fairly badly",7,"a Leaver"
77,"Man","East of England","UKIP","Remain","","","£30,000 to £34,999 per year","Not Asked or missing","15 or under","No formal qualifications","A","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",8,"a Remainer"
36,"Woman","Yorkshire and the Humber","Labour","Remain","","","£30,000 to £34,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
62,"Man","South West","Liberal Democrat","Leave","","","£10,000 to £14,999 per year","Not Asked or missing","17-18","City & Guilds certificate - advanced","B","Not working","Other","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Somewhat positive effect","Very badly",9,"a Leaver"
62,"Woman","East of England","Liberal Democrat","Remain","","","£15,000 to £19,999 per year","Not Asked or missing","20+","University diploma","A","Working part time (Less than 8 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Very negative effect","Very badly",3,"a Remainer"
74,"Man","South East","Conservative","Remain","","","£25,000 to £29,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Don't know","Fairly well",1,"a Remainer"
50,"Man","South East","Conservative","Leave","","","£50,000 to £59,999 per year","Not Asked or missing","17-18","University diploma","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Right","Very positive effect","Very positive effect","Fairly badly",5,"a Leaver"
54,"Man","North West","Other","Leave","","","£15,000 to £19,999 per year","Not Asked or missing","16","CSE grades 2-5","D","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Neither positive nor negative","Neither positive nor negative","Very badly",5,"Neither a Leaver nor a Remainer"
58,"Man","Wales","Plaid","Leave","","","£45,000 to £49,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Very badly",4,"a Leaver"
48,"Man","London","Conservative","Remain","","","£100,000 and over","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Neither positive nor negative","Neither positive nor negative","Fairly badly",4,"Neither a Leaver nor a Remainer"
63,"Man","West Midlands","Labour","Remain","","","£40,000 to £44,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","A","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",5,"Neither a Leaver nor a Remainer"
52,"Woman","Wales","Labour","Remain","","","Prefer not to answer","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
57,"Woman","South East","Conservative","Leave","","","£30,000 to £34,999 per year","Not Asked or missing","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
57,"Man","South East","Conservative","Leave","","","Prefer not to answer","Not Asked or missing","17-18","GCE A level or Higher Certificate","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Other","Right","Very positive effect","Neither positive nor negative","Very badly",8,"a Leaver"
66,"Man","South East","Conservative","Remain","","","£35,000 to £39,999 per year","Not Asked or missing","16","University diploma","A","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
67,"Woman","South East","Liberal Democrat","Remain","","","£30,000 to £34,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","B","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
66,"Woman","North West","Labour","Remain","","","£10,000 to £14,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","C1","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","Very badly",4,"a Remainer"
59,"Man","Yorkshire and the Humber","Labour","Remain","","","£35,000 to £39,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
43,"Man","East Midlands","Conservative","Leave","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Neither positive nor negative","Neither positive nor negative","Very badly",6,"a Leaver"
76,"Man","West Midlands","Conservative","Remain","","","Prefer not to answer","Not Asked or missing","15 or under","City & Guilds certificate - advanced","B","Retired","Other public sector employer (e.g. Central Government)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Very positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
53,"Woman","East of England","Conservative","Leave","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","Very well",10,"a Leaver"
71,"Man","East of England","UKIP","Leave","","","Don't know","Not Asked or missing","20+","University diploma","C2","Retired","Self-employed","Other","Right","Very positive effect","Very positive effect","Very badly",6,"a Leaver"
54,"Man","Yorkshire and the Humber","Labour","Remain","","","£25,000 to £29,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","B","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
