,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
9990,9990,7.0,1.0,76.0,Man,,,South West,Liberal Democrat,Remain,Liberal Democrat,Missing,,,,Prefer not to answer,Not Asked or missing,16,"Other technical, professional or higher qualification",,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)",0.7476,2018-11-14 18:03:01,2018-11-14 18:19:29,Wrong,Somewhat negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
9991,9991,7.0,2.0,55.0,Man,,,Wales,Other,Leave,Green,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,17-18,City & Guilds certificate,,A,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7987,2018-11-14 21:34:39,2018-11-14 21:39:28,Right,Somewhat positive effect,Somewhat positive effect,Fairly badly,5.0,a Leaver,,,
9992,9992,7.0,3.0,43.0,Man,,,Yorkshire and the Humber,Liberal Democrat,Leave,DK or did not vote,Missing,,,,"£45,000 to £49,999 per year",Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.9687,2018-11-14 17:33:14,2018-11-14 17:36:08,Right,Somewhat positive effect,Somewhat positive effect,Fairly badly,5.0,a Leaver,,,
9993,9993,7.0,4.0,32.0,Woman,,,Yorkshire and the Humber,Conservative,Leave,Conservative,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,20+,"Other technical, professional or higher qualification",,B,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6687,2018-11-14 21:45:07,2018-11-14 21:47:59,Wrong,Somewhat negative effect,Neither positive nor negative,Very badly,3.0,a Remainer,,,
9994,9994,7.0,5.0,66.0,Woman,,,East of England,Conservative,Leave,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,20+,"Other technical, professional or higher qualification",,D,Retired,Other public sector employer (e.g. Central Government),Other,0.8426,2018-11-14 17:15:43,2018-11-14 17:23:56,Right,Somewhat positive effect,Somewhat positive effect,Very badly,8.0,a Leaver,,,
9995,9995,7.0,6.0,40.0,Man,,,South West,Liberal Democrat,Remain,Liberal Democrat,Missing,,,,Prefer not to answer,Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.2932,2018-11-14 18:12:32,2018-11-14 18:20:38,Wrong,Somewhat negative effect,Neither positive nor negative,Don't know,3.0,a Remainer,,,
9996,9996,7.0,7.0,42.0,Man,,,Scotland,Labour,Leave,Labour,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,16,"Other technical, professional or higher qualification",,C1,Working full time (30 or more hours per week),Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.6844,2018-11-14 21:21:49,2018-11-14 21:26:03,Don’t know,Don't know,Don't know,Don't know,10.0,a Leaver,,,
9997,9997,7.0,8.0,41.0,Man,,,Scotland,UKIP,Remain,UKIP,Missing,,,,Prefer not to answer,Not Asked or missing,20+,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7497,2018-11-14 19:25:25,2018-11-14 19:27:43,Wrong,Somewhat negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
9998,9998,7.0,9.0,63.0,Woman,,,North West,Other,Leave,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,17-18,University diploma,,B,Retired,Nationalised industry or public corporation (e.g. Post Office),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.873,2018-11-14 17:25:31,2018-11-14 17:31:00,Right,Somewhat positive effect,Neither positive nor negative,Don't know,3.0,a Leaver,,,
9999,9999,7.0,10.0,66.0,Woman,,,Yorkshire and the Humber,Conservative,Remain,Conservative,Missing,,,,"£15,000 to £19,999 per year",Not Asked or missing,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,A,Retired,Charity/voluntary sector,"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7848,2018-11-14 19:27:15,2018-11-14 19:30:38,Wrong,Somewhat positive effect,Neither positive nor negative,Fairly well,1.0,Neither a Leaver nor a Remainer,,,
