,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
6556,6556,5.0,1.0,70.0,Man,,,Yorkshire and the Humber,Other,Leave,Conservative,Missing,,,,"£40,000 to £44,999 per year",Not Asked or missing,20+,University diploma,,C1,Working full time (30 or more hours per week),Self-employed,"Skilled Manual Work (e.g. plumber, electrician, fitter)",0.7292288113487023,2018-04-04 16:40:38,2018-04-04 16:52:54,Right,Somewhat positive effect,Neither positive nor negative,Fairly badly,7.0,a Leaver,Not very important,Not Asked,
6557,6557,5.0,2.0,60.0,Man,,,South East,Labour,Remain,Liberal Democrat,Missing,,,,"£40,000 to £44,999 per year",Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,A,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.1371671579176466,2018-04-04 16:17:18,2018-04-04 16:23:26,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,2.0,a Remainer,Not Asked,Very important,
6558,6558,5.0,3.0,80.0,Man,,,Yorkshire and the Humber,Conservative,Leave,Conservative,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,B,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7095820449971753,2018-04-04 18:12:20,2018-04-04 18:20:18,Right,Somewhat positive effect,Neither positive nor negative,Fairly well,5.0,a Leaver,Extremely important,Not Asked,
6559,6559,5.0,4.0,72.0,Woman,,,South West,Other,Leave,Conservative,Missing,,,,Prefer not to answer,Not Asked or missing,15 or under,Clerical and commercial,,A,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.5813823263019101,2018-04-04 16:07:02,2018-04-04 16:16:20,Right,Very positive effect,Somewhat negative effect,Very badly,7.0,a Leaver,Extremely important,Not Asked,
6560,6560,5.0,5.0,60.0,Man,,,South West,Labour,Leave,Labour,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,E,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.6377866454184512,2018-04-04 16:07:08,2018-04-04 16:16:07,Wrong,Very negative effect,Neither positive nor negative,Very badly,2.0,Neither a Leaver nor a Remainer,Not Asked,Not Asked,
6561,6561,5.0,6.0,73.0,Man,,,South East,Other,Leave,Conservative,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,19,University diploma,,E,Not working,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6725124362265403,2018-04-04 16:15:22,2018-04-04 16:25:51,Right,Very positive effect,Neither positive nor negative,Very well,5.0,a Leaver,Extremely important,Not Asked,
6562,6562,5.0,7.0,57.0,Woman,,,North East,Labour,Remain,Labour,Missing,,,,Prefer not to answer,Not Asked or missing,16,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,C2,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",1.068998156575799,2018-04-04 16:06:55,2018-04-04 16:16:31,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,Not Asked,Very important,
6563,6563,5.0,8.0,55.0,Man,,,Wales,Conservative,Leave,Conservative,Missing,,,,"£60,000 to £69,999 per year",Not Asked or missing,16,Recognised trade apprenticeship completed,,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.6808689626300207,2018-04-04 16:16:30,2018-04-04 16:23:32,Wrong,Somewhat positive effect,Somewhat positive effect,Fairly well,10.0,a Leaver,Very important,Not Asked,
6564,6564,5.0,9.0,50.0,Man,,,East of England,Other,Leave,DK or did not vote,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,16,CSE grades 2-5,,C2,Working full time (30 or more hours per week),Self-employed,"Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b",0.6974538366384079,2018-04-04 16:24:28,2018-04-04 16:35:00,Right,Very positive effect,Very positive effect,Very badly,10.0,a Leaver,Extremely important,Not Asked,
6565,6565,5.0,10.0,75.0,Woman,,,South East,Conservative,Remain,Conservative,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,20+,Teaching qualification (not degree),,B,Not working,Other,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.5307339167767072,2018-04-04 16:23:18,2018-04-04 16:43:53,Don’t know,Neither positive nor negative,Neither positive nor negative,Fairly well,6.0,Neither a Leaver nor a Remainer,Not Asked,Not Asked,
