age,sex,region,GEvote2015,EURef2016,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE2,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
71,"Woman","South West","UKIP","Leave","","","Prefer not to answer","Not Asked or missing","15 or under","No formal qualifications","A","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
80,"Man","South East","Conservative","Leave","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Very positive effect","Somewhat positive effect","Fairly badly",3,"a Leaver"
35,"Man","Yorkshire and the Humber","Conservative","Remain","","","£35,000 to £39,999 per year","Not Asked or missing","20+","GCE A level or Higher Certificate","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
50,"Woman","East of England","Conservative","Remain","","","£5,000 to £9,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","E","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"a Remainer"
69,"Man","South East","Conservative","Leave","","","£25,000 to £29,999 per year","Not Asked or missing","20+","Other technical, professional or higher qualification","A","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","Fairly well",1,"Neither a Leaver nor a Remainer"
36,"Man","East Midlands","Labour","Remain","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
45,"Man","London","DK or did not vote","Did not vote","","","Prefer not to answer","Not Asked or missing","17-18","Prefer not to say","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
46,"Man","Scotland","Labour","Remain","","","£100,000 and over","Not Asked or missing","20+","Other technical, professional or higher qualification","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
71,"Woman","West Midlands","Conservative","Leave","","","£35,000 to £39,999 per year","Not Asked or missing","15 or under","No formal qualifications","C1","Working part time (8-29 hours a week)","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Very positive effect","Fairly badly",10,"a Leaver"
65,"Man","North West","Conservative","Leave","","","£60,000 to £69,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","B","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
64,"Man","South East","Liberal Democrat","Remain","","","£35,000 to £39,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Working part time (8-29 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
42,"Woman","London","Liberal Democrat","Remain","","","£50,000 to £59,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","B","Working full time (30 or more hours per week)","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
61,"Man","East of England","Conservative","Leave","","","£50,000 to £59,999 per year","Not Asked or missing","16","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
51,"Woman","East of England","Conservative","Leave","","","£20,000 to £24,999 per year","Not Asked or missing","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Fairly well",6,"a Leaver"
74,"Man","London","Labour","Remain","","","£35,000 to £39,999 per year","Not Asked or missing","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","A","Retired","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
55,"Man","West Midlands","Labour","Remain","","","£10,000 to £14,999 per year","Not Asked or missing","16","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
69,"Man","East Midlands","Conservative","Remain","","","£5,000 to £9,999 per year","Not Asked or missing","17-18","GCE A level or Higher Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Don't know",0,"a Remainer"
49,"Man","West Midlands","Conservative","Remain","","","Prefer not to answer","Not Asked or missing","17-18","Other technical, professional or higher qualification","E","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Other","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
80,"Woman","East Midlands","UKIP","Leave","","","Prefer not to answer","Not Asked or missing","16","GCE A level or Higher Certificate","C1","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
60,"Man","South West","Conservative","Leave","","","£45,000 to £49,999 per year","Not Asked or missing","16","Other technical, professional or higher qualification","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","Fairly badly",2,"a Leaver"
51,"Woman","North West","Labour","Remain","","","Prefer not to answer","Not Asked or missing","17-18","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don’t know","Neither positive nor negative","Neither positive nor negative","Don't know",5,"a Remainer"
45,"Man","East Midlands","DK or did not vote","Did not vote","","","£30,000 to £34,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Neither positive nor negative","Neither positive nor negative","Fairly well",5,"Neither a Leaver nor a Remainer"
79,"Woman","South West","UKIP","Leave","","","£15,000 to £19,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
70,"Woman","North West","Conservative","Remain","","","£10,000 to £14,999 per year","Not Asked or missing","20+","Teaching qualification (not degree)","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",6,"Neither a Leaver nor a Remainer"
54,"Woman","South East","Conservative","Leave","","","£10,000 to £14,999 per year","Not Asked or missing","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Neither positive nor negative","Neither positive nor negative","Don't know",7,"Neither a Leaver nor a Remainer"
54,"Man","London","Conservative","Remain","","","£45,000 to £49,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","B","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",4,"a Remainer"
33,"Man","East of England","Conservative","Remain","","","Prefer not to answer","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","A","Working full time (30 or more hours per week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very negative effect","Somewhat negative effect","Fairly badly",10,"a Remainer"
42,"Man","South East","DK or did not vote","Did not vote","","","under £5,000 per year","Not Asked or missing","20+","GCE A level or Higher Certificate","E","Unemployed","Other","Other","Wrong","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
42,"Man","East Midlands","Conservative","Leave","","","£25,000 to £29,999 per year","Not Asked or missing","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","D","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Don't know","Fairly badly",4,"a Leaver"
65,"Woman","East of England","UKIP","Leave","","","£5,000 to £9,999 per year","Not Asked or missing","16","Don't know","E","Retired","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
