,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
11619,11619,8.0,1.0,53.0,Woman,English / Welsh / Scottish / Northern Irish / British,,Wales,UKIP,Leave,UKIP,Missing,,,,"under £5,000 per year",Not Asked or missing,20+,GCE A level or Higher Certificate,,E,Retired,Other,Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9085923484136256,2019-03-17 06:45:51,2019-03-17 06:53:16,Right,Very positive effect,Very positive effect,Very badly,8.0,a Leaver,,,
11620,11620,8.0,2.0,68.0,Man,English / Welsh / Scottish / Northern Irish / British,,East Midlands,Conservative,Leave,Conservative,Missing,,,,"£25,000 to £29,999 per year",Not Asked or missing,16,Recognised trade apprenticeship completed,,C1,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7935733934157481,2019-03-17 09:08:24,2019-03-17 09:17:50,Right,Somewhat negative effect,Somewhat positive effect,Very badly,10.0,a Leaver,,,
11621,11621,8.0,3.0,43.0,Man,English / Welsh / Scottish / Northern Irish / British,,Yorkshire and the Humber,DK or did not vote,Remain,Labour,Missing,,,,Prefer not to answer,Not Asked or missing,20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,E,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,1.0722610398739396,2019-03-18 09:14:02,2019-03-18 09:26:53,Wrong,Very negative effect,Somewhat negative effect,Very badly,1.0,a Remainer,,,
11622,11622,8.0,4.0,61.0,Man,English / Welsh / Scottish / Northern Irish / British,,South West,Labour,Leave,Labour,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,16,"CSE grade 1, GCE O level, GCSE, School Certificate",,E,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.024337429265428,2019-03-17 10:58:07,2019-03-17 11:19:13,Wrong,Very negative effect,Neither positive nor negative,Very badly,0.0,a Remainer,,,
11623,11623,8.0,5.0,51.0,Man,English / Welsh / Scottish / Northern Irish / British,,South East,Conservative,Remain,Labour,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,17-18,Teaching qualification (not degree),,C1,Working full time (30 or more hours per week),Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.7389257581761688,2019-03-17 12:00:57,2019-03-17 12:05:38,Wrong,Very negative effect,Somewhat negative effect,Very badly,4.0,a Remainer,,,
11624,11624,8.0,6.0,52.0,Woman,English / Welsh / Scottish / Northern Irish / British,,East of England,Conservative,Remain,Liberal Democrat,Missing,,,,Prefer not to answer,Not Asked or missing,20+,University diploma,,B,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),Have never worked,0.8310955304955833,2019-03-17 11:43:30,2019-03-17 11:54:11,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,3.0,a Remainer,,,
11625,11625,8.0,7.0,51.0,Woman,English / Welsh / Scottish / Northern Irish / British,,East of England,Green,Leave,Labour,Missing,,,,"£20,000 to £24,999 per year",Not Asked or missing,17-18,GCE A level or Higher Certificate,,C1,Working part time (8-29 hours a week),Charity/voluntary sector,"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.8620465701739285,2019-03-17 09:38:32,2019-03-17 10:10:16,Right,Neither positive nor negative,Neither positive nor negative,Fairly badly,7.0,a Leaver,,,
11626,11626,8.0,8.0,77.0,Man,English / Welsh / Scottish / Northern Irish / British,,East of England,UKIP,Remain,Conservative,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,15 or under,No formal qualifications,,A,Retired,Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7905252504363258,2019-03-17 10:37:23,2019-03-17 10:42:22,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,8.0,a Remainer,,,
11627,11627,8.0,9.0,36.0,Woman,English / Welsh / Scottish / Northern Irish / British,,Yorkshire and the Humber,Labour,Remain,Labour,Missing,,,,"£30,000 to £34,999 per year",Not Asked or missing,20+,"Other technical, professional or higher qualification",,B,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.6309243248076003,2019-03-17 09:43:28,2019-03-17 11:29:18,Wrong,Very negative effect,Somewhat negative effect,Very badly,3.0,a Remainer,,,
11628,11628,8.0,10.0,62.0,Man,English / Welsh / Scottish / Northern Irish / British,,South West,Liberal Democrat,Leave,Liberal Democrat,Missing,,,,"£10,000 to £14,999 per year",Not Asked or missing,17-18,City & Guilds certificate - advanced,,B,Not working,Other,"Skilled Manual Work (e.g. plumber, electrician, fitter)",0.98733425201965,2019-03-17 07:46:08,2019-03-17 07:52:08,Right,Very positive effect,Somewhat positive effect,Very badly,9.0,a Leaver,,,
