,Index,Wave,ID,age,sex,ethnicity1,ethnicity2,region,GEvote2015,EURef2016,GEvote2017,GEvote2019,partyid,political_attention,newspaper_readership,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,socialgradeCIE2,work_stat,work_organisation,work_type,Weight,starttime,endtime,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID,Leaverimport,Remainimport,Genecon
1601,1601,2.0,1.0,44.0,Woman,,,North East,Green,Remain,Liberal Democrat,Missing,,6.0,None,"£20,000 to £24,999 per year","£70,000 to £99,999 per year",20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",99.0,C1,Working full time (30 or more hours per week),Nationalised industry or public corporation (e.g. Post Office),"Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar",0.4925746461415765,2017-06-13 19:20:16,2017-06-13 19:28:15,Wrong,Very negative effect,Somewhat negative effect,Very badly,5.0,a Remainer,,,
1602,1602,2.0,2.0,65.0,Woman,,,North West,Labour,Remain,Labour,Missing,,10.0,The Guardian,"£5,000 to £9,999 per year","£35,000 to £39,999 per year",20+,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",99.0,A,Retired,Other public sector employer (e.g. Central Government),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.7095161467064061,2017-06-13 16:13:11,2017-06-13 16:19:31,Wrong,Very negative effect,Somewhat negative effect,Very badly,1.0,a Remainer,,,
1603,1603,2.0,3.0,66.0,Man,,,South East,Conservative,Leave,Conservative,Missing,,7.0,The Daily Mail / The Scottish Daily Mail,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",17-18,"Other technical, professional or higher qualification",99.0,C1,Retired,Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8399102110956709,2017-06-13 16:32:28,2017-06-13 16:39:09,Right,Somewhat positive effect,Somewhat positive effect,Fairly well,10.0,a Leaver,,,
1604,1604,2.0,4.0,62.0,Man,,,London,UKIP,Leave,Conservative,Missing,,10.0,The Daily Telegraph,"£100,000 and over","£100,000 to £149,999 per year",20+,"Other technical, professional or higher qualification",99.0,A,Working part time (8-29 hours a week),Private sector firm or company (e.g. limited companies and Plcs),Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g,0.9448225827588188,2017-06-13 19:13:53,2017-06-13 19:20:17,Right,Very positive effect,Neither positive nor negative,Don't know,10.0,a Leaver,,,
1605,1605,2.0,5.0,55.0,Woman,,,South East,Conservative,Leave,Conservative,Missing,,10.0,The Daily Mail / The Scottish Daily Mail,"£30,000 to £34,999 per year","£70,000 to £99,999 per year",16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",99.0,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.0380139356480156,2017-06-13 21:07:12,2017-06-13 21:14:54,Right,Very positive effect,Very positive effect,Very well,6.0,a Leaver,,,
1606,1606,2.0,6.0,60.0,Man,,,Scotland,Labour,Remain,Labour,Missing,,7.0,The Guardian,"£60,000 to £69,999 per year","£100,000 to £149,999 per year",20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",99.0,A,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8614576058049098,2017-06-13 16:20:36,2017-06-13 16:27:07,Wrong,Very negative effect,Somewhat negative effect,Very badly,0.0,a Remainer,,,
1607,1607,2.0,7.0,78.0,Woman,,,East of England,Conservative,Remain,Conservative,Missing,,10.0,The Times,"£15,000 to £19,999 per year","£35,000 to £39,999 per year",17-18,"Other technical, professional or higher qualification",99.0,C1,Working part time (8-29 hours a week),Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.8234843413951759,2017-06-13 19:08:05,2017-06-13 19:26:41,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly badly,1.0,a Remainer,,,
1608,1608,2.0,8.0,58.0,Man,,,Yorkshire and the Humber,Labour,Leave,Labour,Missing,,7.0,The Daily Mail / The Scottish Daily Mail,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",20+,City & Guilds certificate - advanced,99.0,C1,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",0.7413136392004668,2017-06-14 08:29:25,2017-06-14 08:38:10,Right,Somewhat positive effect,Somewhat positive effect,Fairly badly,8.0,a Leaver,,,
1609,1609,2.0,9.0,55.0,Woman,,,London,Conservative,Remain,Conservative,Missing,,9.0,None,"£70,000 to £99,999 per year","£60,000 to £69,999 per year",20+,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",99.0,A,Working full time (30 or more hours per week),Other public sector employer (e.g. Central Government),"Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person",1.0297572230394303,2017-06-13 20:13:50,2017-06-13 20:21:52,Wrong,Somewhat negative effect,Somewhat negative effect,Fairly well,3.0,a Remainer,,,
1610,1610,2.0,10.0,58.0,Man,,,South East,Conservative,Leave,Conservative,Missing,,4.0,The Daily Mail / The Scottish Daily Mail,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",16,City & Guilds certificate - advanced,99.0,C2,Working full time (30 or more hours per week),Private sector firm or company (e.g. limited companies and Plcs),"Skilled Manual Work (e.g. plumber, electrician, fitter)",1.124788713952918,2017-06-14 09:05:43,2017-06-14 09:12:35,Wrong,Neither positive nor negative,Somewhat negative effect,Don't know,6.0,a Remainer,,,
1611,1611,2.0,11.0,65.0,Man,,,East Midlands,Conservative,Leave,Conservative,Missing,,7.0,The Times,"£10,000 to £14,999 per year",Prefer not to answer,15 or under,No formal qualifications,99.0,C2,Working part time (8-29 hours a week),Self-employed,"Skilled Manual Work (e.g. plumber, electrician, fitter)",1.098403262589386,2017-06-13 17:24:51,2017-06-13 17:33:29,Right,Very positive effect,Somewhat positive effect,Don't know,3.0,a Leaver,,,
