;Subgroup;Wave1;Wave2;Wave3;Wave4;Wave5;Wave6;Wave7;Wave8;Wave9;Wave10;Penalty
0;Hindsight=='Wrong';0.18705361;0.19412721;0.184236776;0.202900406;0.186359351;0.194650673;0.194246697;0.199611587;0.192289981;0.193044526;0.965679734
1;EURef2016=='Remain' AND Hindsight=='Wrong';0.174803693;0.183709988;0.178075626;0.187473875;0.168932216;0.170797049;0.166617489;0.174583148;0.161098841;0.167543422;0.947027225
2;EURef2016=='Remain';0.158597785;0.172531131;0.172766252;0.175605794;0.159437037;0.162394458;0.155515007;0.159348701;0.150040383;0.158188669;0.943479397
3;Hindsight=='Wrong' AND sex=='Woman';0.11069167;0.112582971;0.102483475;0.117071437;0.10220386;0.113982746;0.11103725;0.116673439;0.120554212;0.110689185;0.940935726
4;Hindsight=='Wrong' AND Poscountry=='Very negative effect';0.107200723;0.122672607;0.12432571;0.124459289;0.117119994;0.133835714;0.126679909;0.142486256;0.149359005;0.122905494;0.899846458
5;Poscountry=='Very negative effect';0.106728657;0.12112067;0.123867482;0.124005887;0.116427079;0.131591753;0.125862918;0.141330152;0.149433018;0.121648563;0.899477581
6;EURef2016=='Remain' AND Hindsight=='Wrong' AND sex=='Woman';0.103533433;0.108045911;0.097725066;0.107463554;0.093411733;0.096844443;0.094418197;0.101209264;0.097984824;0.094684641;0.940525353
7;EURef2016=='Remain' AND Hindsight=='Wrong' AND Poscountry=='Very negative effect';0.100387757;0.114507537;0.116319956;0.111287509;0.103720019;0.119325449;0.10803383;0.119883761;0.126223837;0.108570412;0.920141462
8;EURef2016=='Remain' AND Poscountry=='Very negative effect';0.100387757;0.11430689;0.11758554;0.111528506;0.103489047;0.119215257;0.10724774;0.12015532;0.126745362;0.108319026;0.917438966
9;EURef2016=='Remain' AND sex=='Woman';0.095298028;0.105777381;0.094775413;0.101020629;0.08931434;0.093269265;0.089419028;0.095221395;0.093861079;0.092721705;0.945103847
